country,n_pop,n_gdpcap,n_hc,n_csh_c,n_csh_i,n_csh_g,n_csh_x,n_csh_m,n_rknacapita
Albania,6,6,6,6,6,6,6,6,6
Austria,16,16,16,16,16,16,16,16,16
Belgium,16,16,16,16,16,16,16,16,16
Canada,16,16,16,16,16,16,16,16,16
Cyprus,16,16,16,16,16,16,16,16,16
Denmark,16,16,16,16,16,16,16,16,16
Finland,16,16,16,16,16,16,16,16,16
France,16,16,16,16,16,16,16,16,16
Germany,16,16,16,16,16,16,16,16,16
Iceland,16,16,16,16,16,16,16,16,16
Ireland,16,16,16,16,16,16,16,16,16
Italy,16,16,16,16,16,16,16,16,16
Luxembourg,16,16,16,16,16,16,16,16,16
Netherlands,16,16,16,16,16,16,16,16,16
Norway,16,16,16,16,16,16,16,16,16
Portugal,16,16,16,16,16,16,16,16,16
Spain,16,16,16,16,16,16,16,16,16
Sweden,16,16,16,16,16,16,16,16,16
Switzerland,16,16,16,16,16,16,16,16,16
United Kingdom,16,16,16,16,16,16,16,16,16
